open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA50,EMA200,VWAP,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,KCLe_20_1.0,KCBe_20_1.0,KCUe_20_1.0,OBV,CMF
2022-10-05,78.9,79.2,75.8,78.8,58332.845,2022-10-05 23:59:59.999,4537772.55390000,17050,28063.10700000,2183948.85970000,0,,,77.93333333333334,-1.6160907164274363,0.5845567431926053,-2.2006474596200416,97.88313987143698,78.60019122892537,71.17630225998683,75.975,80.77369774001316,12.632307311650328,0.7943506919017003,72.76798541131772,77.46176028229482,82.15553515327191,374403.85999999987,0.04208285049586625
2022-10-06,78.8,80.4,77.2,77.5,77223.946,2022-10-06 23:59:59.999,6099357.27520000,22942,36287.28000000,2865999.29970000,0,,,78.36666666666667,-1.4259076023681416,0.6197918858015199,-2.0456994881696615,92.31559115240229,88.46211822908306,71.27532539109191,75.88499999999999,80.49467460890807,12.149106170937815,0.6751750543171814,72.9138915626208,77.46540216017151,82.01691275772221,297179.9139999999,-0.01112017073445964
2022-10-07,77.4,78.3,75.0,75.8,53599.961,2022-10-07 23:59:59.999,4102229.66760000,14925,25879.49800000,1983485.51490000,0,,,76.36666666666667,-1.396266614402947,0.5195462990133717,-1.9158129134163187,76.6818389800677,88.96019000130234,71.750924235305,75.60499999999999,79.45907576469497,10.19529333958067,0.5252978939576503,72.87447331856167,77.30679243063136,81.73911154270105,243579.95299999986,-0.04970142039914696
2022-10-08,75.7,76.2,73.9,74.6,22752.315,2022-10-08 23:59:59.999,1711492.07100000,8027,11010.00700000,829193.11930000,0,81.738,,74.9,-1.4528582436108195,0.3703637358443994,-1.823221979455219,55.76995135817749,74.9224604968825,71.98728448903672,75.68499999999997,79.38271551096322,9.771329882970868,0.35328779393883947,72.81976157393676,77.04900267533314,81.27824377672952,220827.63799999986,-0.011320321967885157
2022-10-09,74.6,76.1,74.2,75.5,23731.376,2022-10-09 23:59:59.999,1785560.59470000,7249,10367.24600000,780467.00610000,0,81.49337254901961,,75.26666666666667,-1.4088447537467772,0.3315017805667533,-1.7403465343135305,47.037327554972705,59.82970596440597,71.95630620164746,75.63999999999997,79.32369379835248,9.740068213518004,0.48099733478627,72.8940699954666,76.9014786110157,80.90888722656481,244559.01399999985,-0.089477323800364
2022-10-10,75.5,76.5,73.3,73.6,31014.762,2022-10-10 23:59:59.999,2312995.82560000,12589,14487.06100000,1080531.71170000,0,81.18382852748942,,74.46666666666667,-1.5098729909900896,0.1843788346587527,-1.6942518256488424,37.25355654828206,46.68694515381075,71.89677559096735,75.61999999999998,79.3432244090326,9.847194945867829,0.22872975436299017,72.65653951970788,76.58705207663326,80.51756463355864,213544.25199999986,-0.056961809055704075
2022-10-11,73.5,73.6,71.2,71.4,50595.162,2022-10-11 23:59:59.999,3656052.08260000,16160,21862.30700000,1581033.21070000,0,80.8001489773918,,72.06666666666668,-1.7473182140041956,-0.0424531106842827,-1.704865103319913,25.333535560796662,36.54147322135048,71.84282599286821,75.60999999999999,79.37717400713176,9.964750713217226,-0.05877429500600164,72.30829766068807,76.0930471169539,79.87779657321973,162949.08999999985,-2.709314565418848e-05
2022-10-12,71.4,72.8,71.1,71.6,32958.909,2022-10-12 23:59:59.999,2369629.33550000,10803,14167.52400000,1018874.97120000,0,80.43935882141565,,71.83333333333333,-1.897483921904083,-0.1540950548673361,-1.743388867036747,9.232224054053782,23.939772054377503,71.24283512003505,75.35499999999998,79.4671648799649,10.914112878946117,0.043427840370056814,72.07893597871778,75.66513786772019,79.2513397567226,195907.99899999984,-0.06078104505351432
2022-10-13,71.5,72.0,64.7,71.0,168837.39,2022-10-13 23:59:59.999,11536436.45290000,39876,83788.57000000,5721055.27000000,0,80.06918788724249,,69.23333333333333,-2.041374617017638,-0.23838859998471285,-1.8029860170329253,1.3164138997456902,11.96072450486538,70.60905415479888,75.04999999999998,79.49094584520108,11.834632498870354,0.04401605635695534,71.28094207598275,75.22083902317542,79.16073597036808,27070.608999999822,0.003327075049851927
2022-10-14,71.0,74.7,70.8,72.9,90460.559,2022-10-14 23:59:59.999,6607982.75270000,24134,40925.03800000,2989709.93710000,0,79.78804326421337,,72.8,-1.97927901214058,-0.14103439608612378,-1.8382446160544563,13.932458921699762,8.160365625166413,70.40606840765224,74.94499999999998,79.48393159234772,12.112700226426682,0.2747267216532108,71.06370949731773,74.99980673525394,78.93590397319015,117531.16799999982,0.032499925017885005
